scan_date,equity,cash,positions,holdings
2025-05-05,0.9507391947352511,0.9507391947352511,0,
2025-05-06,0.9507391947352511,0.9507391947352511,0,
2025-05-07,0.9507391947352511,0.9507391947352511,0,
2025-05-08,0.9507391947352511,0.9507391947352511,0,
2025-05-09,0.9507391947352511,0.9507391947352511,0,
2025-05-12,0.9502645373612731,0.7922826622793759,1,RGLD
2025-05-13,0.9478286267690677,0.4760240018644022,3,"RGLD, LIF, LYFT"
2025-05-14,0.9379219005320021,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-15,0.9347732471515835,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-16,0.9533819920680919,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-19,0.952999991586039,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-20,0.9562863112798914,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-21,0.9454514590660057,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-22,0.9418221422768063,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-23,0.9515935151738406,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-27,0.9741593756532305,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-28,0.9689054756069571,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-29,0.9641442420732764,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-05-30,0.9664500977182351,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-06-02,0.9726767511058205,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-06-03,0.9858603108758306,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-06-04,0.9886223447180988,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-06-05,0.9956091233176538,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-06-06,0.9982123632390176,0.006359610524722725,6,"RGLD, LIF, LYFT, APH, ATI, STRL"
2025-06-09,0.9992547644594925,0.003170825704019248,6,"LIF, LYFT, APH, ATI, STRL, AVAV"
2025-06-10,0.9794661299655955,0.0,6,"APH, ATI, STRL, AVAV, AGX, CAR"
2025-06-11,0.9993701612715935,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-12,0.9896541140777759,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-13,0.9796265816965171,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-16,0.9920694074578598,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-17,0.9821097903697771,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-18,0.9872526313407901,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-20,0.9887927898189655,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-23,1.0164715218327867,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-24,1.066523114935236,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-25,1.0920547297812553,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-26,1.1431762044323635,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-27,1.148340019238979,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-06-30,1.1464284009974501,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-07-01,1.1039923763087391,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-07-02,1.1128689876192164,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-07-03,1.1318244672543734,0.014114338875975407,6,"AVAV, AGX, CAR, FLR, DY, QTWO"
2025-07-07,1.1226693444649956,0.031248677799143337,6,"AGX, CAR, FLR, DY, QTWO, MP"
2025-07-08,1.1088532000902886,0.031178328521363485,6,"FLR, DY, QTWO, MP, VSAT, SEDG"
2025-07-09,1.1072926962874148,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-10,1.2108187516643576,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-11,1.183978192232036,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-14,1.2097062669568222,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-15,1.2665535946040132,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-16,1.2577692824975484,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-17,1.2858376452376015,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-18,1.3133421055885164,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-21,1.2883197998504676,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-22,1.2870339201473622,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-23,1.2566154767154438,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-24,1.2342320030481468,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-25,1.2306230780436325,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-28,1.249715637742285,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-29,1.1999707301009719,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-30,1.2164542378075733,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-07-31,1.214867516152985,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-08-01,1.2087695583462512,0.0039001915042853885,6,"MP, VSAT, SEDG, BMI, ALGM, CLSK"
2025-08-04,1.2691776789803852,0.18551021830139405,6,"VSAT, SEDG, BMI, ALGM, CLSK, CVI"
2025-08-05,1.2942383073529513,0.18454709671177683,6,"BMI, ALGM, CLSK, CVI, KTOS, ACLS"
2025-08-06,1.2922283345964893,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-07,1.2930707901107865,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-08,1.304061650803392,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-11,1.3029680375660821,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-12,1.3439478974914596,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-13,1.365521945358898,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-14,1.3590187490323244,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-15,1.3425632405088004,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-18,1.3466537442503645,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-19,1.3235950210345457,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-20,1.3359514589682335,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-21,1.323634534403705,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-22,1.3953675690953269,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-25,1.3870007700609968,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-26,1.4068739133346244,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-27,1.4094182646292517,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-28,1.4245715085238926,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-08-29,1.4012725262922183,0.0,6,"CVI, KTOS, ACLS, EMR, ACMR, PRIM"
2025-09-02,1.3984576527930286,0.02796871108399368,6,"EMR, ACMR, PRIM, CIEN, CENX, RUN"
2025-09-03,1.4014305426729627,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-04,1.4589097119887318,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-05,1.4995645758099154,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-08,1.514279035246428,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-09,1.4948201992872523,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-10,1.533461219850071,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-11,1.5729316890797644,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-12,1.5854211284531161,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-15,1.6349521298088752,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-16,1.639323058847519,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-17,1.6352577543006572,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-18,1.6532874259655241,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-19,1.6671437140854999,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-22,1.710101924893376,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-23,1.6608272218572726,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-24,1.6441139639893898,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-25,1.6566347096583054,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-26,1.7204288853964158,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-29,1.7356281659190562,0.0,6,"CIEN, CENX, RUN, CC, HL, SEDG"
2025-09-30,1.7339653980343044,0.06156746818776426,6,"CC, HL, SEDG, BTU, CLSK, ACMR"
2025-10-01,1.802558963998236,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-02,1.8562456845970727,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-03,1.9000569554112732,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-06,1.9435366528999074,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-07,1.935065766282852,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-08,1.9898777200131177,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-09,2.0055901841691464,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-10,1.9288259307022826,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-13,2.0920325596672367,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-14,2.179817383973245,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-15,2.140436048222487,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-16,2.0434911751459537,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-17,1.992584414547304,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-20,2.057077356542587,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-21,1.940817936709631,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-22,1.8606012958120686,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-23,1.9482616696796344,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-24,2.013477845611191,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-27,2.018344078931262,0.0,6,"BTU, CLSK, ACMR, CVI, MP, VSAT"
2025-10-28,1.9571782549931576,0.0,6,"CVI, MP, VSAT, PARR, WDC, PBF"
2025-10-29,2.0222730197839875,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-10-30,1.9802175435214409,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-10-31,2.0059883182264344,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-03,2.0421757238514258,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-04,1.987529083929994,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-05,2.0854857672304474,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
2025-11-06,2.2153799441437814,0.0,6,"PARR, WDC, PBF, CIEN, COHR, LITE"
