ticker,sector,entry_date,exit_date,entry_price,exit_price,entry_cash_outlay,exit_net_proceeds,entry_fee,exit_fee,return,holding_days,model_alpha,pre_opportunity,entry_rank,exit_reason
ICHR,Information Technology,2026-01-20,2026-02-17,30.56999969482422,47.06999969482422,0.5018310875341009,0.7726918342456744,0.0,0.0,0.5397448532782811,20,0.35381555557250977,0.4090340885849986,1,max_hold_days
LITE,Information Technology,2026-01-20,2026-02-17,356.8299865722656,600.4199829101562,0.5018310875341009,0.8444060878835037,0.0,0.0,0.6826500168268748,20,0.3051341474056244,0.48169332260069264,2,max_hold_days
WDC,Information Technology,2026-01-20,2026-02-17,222.86334228515625,283.97406005859375,0.5018310875341009,0.6394367504743728,0.0,0.0,0.2742071313605521,20,0.274684876203537,0.4172639457377359,3,max_hold_days
TTMI,Information Technology,2026-01-21,2026-02-18,99.87000274658203,93.97000122070312,0.5231599008764012,0.4922532809849237,0.0,0.0,-0.05907681349373772,20,0.23007847368717194,0.4125678215540516,1,max_hold_days
FORM,Information Technology,2026-01-21,2026-02-18,83.45999908447266,94.68000030517578,0.5231599008764012,0.5934912547087331,0.0,0.0,0.13443567390106215,20,0.218252032995224,0.4123716459929739,2,max_hold_days
MKSI,Information Technology,2026-01-21,2026-02-18,220.5171661376953,250.11859130859375,0.49216475434208173,0.5582311672321952,0.0,0.0,0.13423637574053848,20,0.207222580909729,0.41157367974660103,3,max_hold_days
TPL,Energy,2026-02-17,2026-03-17,425.9320068359375,529.1799926757812,0.6528197525782118,0.8110664292505472,0.0,0.0,0.24240485378600196,20,0.12312919646501541,0.5036261212544637,1,max_hold_days
CENX,Materials,2026-02-17,2026-03-17,48.88999938964844,56.4900016784668,0.6528197525782118,0.7543012759105835,0.0,0.0,0.1554510612333435,20,0.11359629034996033,0.5193445236642618,2,max_hold_days
AGX,Industrials,2026-02-17,2026-03-17,406.5494384765625,473.2452087402344,0.6528197525782118,0.7599169764846067,0.0,0.0,0.16405328344222236,20,0.11274459213018417,0.45004913541143043,3,max_hold_days
SNDK,Information Technology,2026-02-18,2026-03-18,600.4000244140625,753.6900024414062,0.6586271400756445,0.8267832622026161,0.0,0.0,0.25531307760512045,20,0.113405242562294,0.42395293397369593,1,max_hold_days
MU,Information Technology,2026-02-18,2026-03-18,420.77325439453125,461.5361328125,0.6586271400756445,0.7224323790096401,0.0,0.0,0.09687611556163245,20,0.10910804569721222,0.4424952051598752,2,max_hold_days
CIEN,Information Technology,2026-02-18,2026-03-18,310.9599914550781,385.260009765625,0.6247968376434785,0.7740842628844472,0.0,0.0,0.23893754937049638,20,0.0924396961927414,0.406646039464025,3,max_hold_days
ICHR,Information Technology,2026-03-17,2026-04-14,47.619998931884766,64.01000213623047,0.7635317320681665,1.0263265203065535,0.0,0.0,0.34418319134760633,20,0.20494596660137177,0.4176409826923869,1,max_hold_days
CC,Materials,2026-03-17,2026-04-14,18.989999771118164,22.889999389648438,0.7635317320681665,0.9203391833420994,0.0,0.0,0.20537123041263916,20,0.20138590037822723,0.4725710395405989,2,max_hold_days
LITE,Information Technology,2026-03-17,2026-04-14,649.5599975585938,852.7899780273438,0.7635317320681665,1.0024204253046785,0.0,0.0,0.3128733007460449,20,0.18047626316547394,0.428349999445083,3,max_hold_days
UCTT,Information Technology,2026-03-18,2026-04-14,59.36000061035156,76.91999816894531,0.7828409614212818,1.0144225859155318,0.0,0.0,0.2958220582553619,19,0.16739493608474731,0.4270136017092099,1,open_at_end
CENX,Materials,2026-03-18,2026-04-14,55.34000015258789,63.77000045776367,0.7828409614212818,0.9020919467029813,0.0,0.0,0.1523310495470167,19,0.16315586864948273,0.4366515155466081,2,open_at_end
FORM,Information Technology,2026-03-18,2026-04-14,96.18000030517578,128.27999877929688,0.7828409614212818,1.0441135085970832,0.0,0.0,0.33374920328830227,19,0.14930497109889984,0.427828460594431,3,open_at_end
TALO,Energy,2026-04-14,2026-04-14,14.260000228881836,14.260000228881836,0.9865301125738372,0.9865301125738372,0.0,0.0,0.0,0,0.21284665167331696,0.5171901815168094,1,open_at_end
PTEN,Energy,2026-04-14,2026-04-14,9.880000114440918,9.880000114440918,0.9865301125738372,0.9865301125738372,0.0,0.0,0.0,0,0.20224906504154205,0.5258342702163656,2,open_at_end
SM,Energy,2026-04-14,2026-04-14,27.649999618530273,27.649999618530273,0.9854924090797529,0.9854924090797529,0.0,0.0,0.0,0,0.19530391693115234,0.49968410258351803,3,open_at_end
